Course Link,Title,Short Description,Length,Effort,Price,Institution,Subject,Level,Prerequisites
https://www.edx.org/course/citiesx-the-past-present-and-future-of-urban-life,"CitiesX: The Past, Present and Future of Urban Life","Explore what makes cities energizing, amazing, challenging, and perhaps humanity’s greatest invention.",11 Weeks,5-7 hours per week,"₹7,416",HarvardX,Social Sciences,Introductory,Missing
https://www.edx.org/course/masterpieces-of-world-literature,Masterpieces of World Literature,"Embark on a global journey to explore the past, present, and future of World Literature.",12 Weeks,5-7 hours per week,$149 USD,HarvardX,Literature,Introductory,None
https://www.edx.org/course/the-psychology-of-criminal-justice,The Psychology of Criminal Justice,Learn how behavioural science can improve our criminal justice system.,8 Weeks,1-2 hours per week,"₹7,416",UQx,Humanities,Introductory,None
https://www.edx.org/course/covid-19-ventilacion-mecanica-para-no-intensivistas,Covid - 19: Ventilación mecánica para no intensivistas,"Aborda aspectos relacionados con las medidas de protección y bioseguridad, intubación orotraqueal, ventilación mecánica, Síndrome de Dificultad Aguda Respiratoria en el marco de la contingencia actual mundial por el coronavirus.",2 Weeks,3-5 hours per week,₹749,JaverianaX,Medicine,Introductory,Mèdicos no intensivistas
https://www.edx.org/course/introduction-to-linear-models-and-matrix-algebra,Introduction to Linear Models and Matrix Algebra,Learn to use R programming to apply linear models to analyze data in life sciences.,4 Weeks,2-4 hours per week,$149 USD,HarvardX,Math,Intermediate,Missing
https://www.edx.org/course/quantitative-methods-for-biology,Quantitative Methods for Biology,"Learn introductory programming and data analysis in MATLAB, with applications to biology and medicine.",10 Weeks,3-5 hours per week,$99 USD,HarvardX,Computer Science,Introductory,Introductory algebra
https://www.edx.org/course/successful-negotiation-essential-strategies-and-skills,Successful Negotiation: Essential Strategies and Skills,Build negotiation skills and learn how to use and apply negotiation strategies to your life with the University of Michigan.,7 Weeks,2-4 hours per week,$49 USD,MichiganX,Business & Management,Introductory,Missing
https://www.edx.org/course/improving-your-business-through-a-culture-of-healt,Improving Your Business Through a Culture of Health,"Learn how a Culture of Health can transform your business to improve the well-being of your employees and company, while increasing revenue.",9 Weeks,1-3 hours per week,$99 USD,HarvardX,Business & Management,Introductory,Missing
https://www.edx.org/course/programacion-para-todos-empezando-con-python,Programación para todos (empezando con Python),"Este curso en línea es una introducción ""sin prerrequisitos"" a la programación en Python. Aprenderás sobre las variables, la ejecución condicional, la ejecución repetida y cómo usamos las funciones.",7 Weeks,2-4 hours per week,$49 USD,MichiganX,Computer Science,Introductory,Missing
https://www.edx.org/course/upper-intermediate-english-modern-life,Upper-Intermediate English: Business and Modern Life,"Advance your English languageskillsas you learn how to rephrase sentences andprepare for an interview. Topics such as films, sports, and natural resources will also be discussed.",4 Weeks,3-5 hours per week,$50 USD,UPValenciaX,Language,Intermediate,Lower Intermediate or Intermediate level of English
https://www.edx.org/course/introduction-to-music-theory-2,Introduction To Music Theory,"Learn key concepts and approaches needed to understand, create, and perform contemporary music.",6 Weeks,3-5 hours per week,"₹3,671",BerkleeX,Humanities,Introductory,The ability to play an instrument is helpful but not required. You should have a passion for music and a strong interest in developing your understanding of music and ability to create it.
https://www.edx.org/course/sikhism-through-its-scriptures,Sikhism Through Its Scriptures,This course examines the Sikh scripture from a doctrinal and historical perspective by providing an overview of Sikh teachings as well as the historical context within which the scripture evolved and became canonized.,4 Weeks,5-10 hours per week,"₹3,671",HarvardX,Humanities,Introductory,Missing
https://www.edx.org/course/finanzas-personales,Finanzas Personales,Realice el diagnóstico real de sus finanzas personales o familiares y logre la libertad financiera.,10 Weeks,9-10 hours per week,$49 USD,JaverianaX,Business & Management,Introductory,Ninguno
https://www.edx.org/course/religious-literacy-traditions-and-scriptures,Religious Literacy: Traditions and Scriptures,Learn how to better understand the rich and complex ways that religions function in historic and contemporary contexts.,4 Weeks,5-10 hours per week,"₹3,671",HarvardX,Humanities,Introductory,None
https://www.edx.org/course/programming-for-the-web-with-javascript,Programming for the Web with JavaScript,Missing,4 Weeks,6-8 hours per week,"₹11,162",PennX,Computer Science,Intermediate,Missing
https://www.edx.org/course/china-and-communism,China and Communism,"Explore the Maoist period of China, from the Communist Party to the death of Mao and the reopening of China.",15 Weeks,1-3 hours per week,$139 USD,HarvardX,History,Introductory,Missing
https://www.edx.org/course/c-programming-getting-started,C Programming: Getting Started,Start learning one of the most powerful and widely used programming languages: C.,7 Weeks,2-4 hours per week,$49 USD,"Dartmouth_IMTx
DartmouthX
IMTx",Computer Science,Introductory,None
https://www.edx.org/course/women-making-history-ten-objects-many-stories,"Women Making History: Ten Objects, Many Stories","Learn how American women created, confronted, and embraced change in the 20th century while exploring ten objects from Radcliffe’s Schlesinger Library.",8 Weeks,2-3 hours per week,$99 USD,HarvardX,History,Introductory,Missing
https://www.edx.org/course/circuits-and-electronics-1-basic-circuit-analysi-2,Circuits and Electronics 1: Basic Circuit Analysis,"Learn techniques that are foundational to the design of microchips used in smartphones, self-driving cars, computers, and the Internet.",5 Weeks,5-7 hours per week,$169 USD,MITx,Electronics,Introductory,"High school mathematical background of working with algebraic equations and basic calculus, and a high school physics background including the basics of electricity and magnetism."
https://www.edx.org/course/entrepreneurship-101-who-is-your-customer,Entrepreneurship 101: Who is your customer?,Entrepreneurship can be learned. Begin your journey by learning the first important skill for aspiring entrepreneurs.,10 Weeks,2-4 hours per week,$49 USD,MITx,Business & Management,Introductory,Recommended: You Can Innovate: User Innovation & Entrepreneurship
https://www.edx.org/course/statistical-learning,Statistical Learning,"Learn some of the main tools used in statistical modeling and data science. We cover both traditional as well as exciting new methods, and how to use them in R.",9 Weeks,3-5 hours per week,$50 USD,StanfordOnline,Data Analysis & Statistics,Introductory,"First courses in statistics, linear algebra, and computing."
https://www.edx.org/course/cs50s-computer-science-for-business-professionals,CS50's Computer Science for Business Professionals,This is CS50’s introduction to computer science for business professionals.,6 Weeks,2-6 hours per week,$90 USD,HarvardX,Computer Science,Introductory,Missing
